station,time,mooring_site_desc,current_speed,current_speed_qc,current_direction,current_direction_qc,temperature,temperature_qc,longitude,latitude,depth
,UTC,,cm/s,1,angular_degrees,1,celsius,1,degrees_east,degrees_north,m
B01,2011-11-02T08:00:00Z,Western Maine Shelf,0.2933,0,147.8972,0,11.490262,0,-70.4277,43.18065,2.0
B01,2011-11-02T09:00:00Z,Western Maine Shelf,3.2263,0,287.834,0,11.490262,0,-70.4277,43.18065,2.0
B01,2011-11-02T10:00:00Z,Western Maine Shelf,3.8129,0,133.4816,0,11.458766,0,-70.4277,43.18065,2.0
B01,2011-11-02T11:00:00Z,Western Maine Shelf,10.8521,0,136.646,0,11.458766,0,-70.4277,43.18065,2.0
B01,2011-11-02T12:00:00Z,Western Maine Shelf,3.8129,0,146.1392,0,11.490262,0,-70.4277,43.18065,2.0
B01,2011-11-02T13:00:00Z,Western Maine Shelf,2.0531,0,112.3856,0,11.458766,0,-70.4277,43.18065,2.0
B01,2011-11-02T14:00:00Z,Western Maine Shelf,8.5057,0,157.0388,0,11.458766,0,-70.4277,43.18065,2.0
B01,2011-11-02T15:00:00Z,Western Maine Shelf,2.933,0,135.2396,0,11.490262,0,-70.4277,43.18065,2.0
B01,2011-11-02T16:00:00Z,Western Maine Shelf,6.4526,0,82.4996,0,10.954549,0,-70.4277,43.18065,2.0
B01,2011-11-02T17:00:00Z,Western Maine Shelf,2.3464,0,24.134,0,10.986078,0,-70.4277,43.18065,2.0
B01,2011-11-02T18:00:00Z,Western Maine Shelf,2.0531,0,7.6088,0,11.080653,0,-70.4277,43.18065,2.0
B01,2011-11-02T19:00:00Z,Western Maine Shelf,2.3464,0,335.6516,0,11.2382345,0,-70.4277,43.18065,2.0
B01,2011-11-02T20:00:00Z,Western Maine Shelf,4.9861,0,14.2892,0,11.143692,0,-70.4277,43.18065,2.0
B01,2011-11-02T21:00:00Z,Western Maine Shelf,8.5057,0,67.0292,0,10.954549,0,-70.4277,43.18065,2.0
B01,2011-11-02T22:00:00Z,Western Maine Shelf,12.6119,0,107.4632,0,10.70223,0,-70.4277,43.18065,2.0
B01,2011-11-02T23:00:00Z,Western Maine Shelf,19.6511,0,92.3444,0,10.670679,0,-70.4277,43.18065,2.0
B01,2011-11-03T00:00:00Z,Western Maine Shelf,22.8774,0,94.8056,0,10.670679,0,-70.4277,43.18065,2.0
B01,2011-11-03T01:00:00Z,Western Maine Shelf,27.8635,0,91.2896,0,10.60757,0,-70.4277,43.18065,2.0
B01,2011-11-03T02:00:00Z,Western Maine Shelf,21.9975,0,86.0156,0,10.60757,0,-70.4277,43.18065,2.0
B01,2011-11-03T03:00:00Z,Western Maine Shelf,20.8243,0,74.4128,0,10.60757,0,-70.4277,43.18065,2.0
B01,2011-11-03T04:00:00Z,Western Maine Shelf,19.3578,0,62.1068,0,10.639126,0,-70.4277,43.18065,2.0
B01,2011-11-03T05:00:00Z,Western Maine Shelf,19.0645,0,58.2392,0,10.639126,0,-70.4277,43.18065,2.0
B01,2011-11-03T06:00:00Z,Western Maine Shelf,21.1176,0,62.4584,0,10.60757,0,-70.4277,43.18065,2.0
B01,2011-11-03T07:00:00Z,Western Maine Shelf,21.4109,0,60.7004,0,10.54445,0,-70.4277,43.18065,2.0
B01,2011-11-03T08:00:00Z,Western Maine Shelf,18.7712,0,81.7964,0,10.481319,0,-70.4277,43.18065,2.0


